name,lat,lon,elevation_m
KSHR,44.77,-106.97,1209.0
KSHV,32.45,-93.82,79.0
KSIY,41.77,-122.47,805.0
KSJN,34.52,-109.38,1747.0
KSJT,31.35,-100.5,582.0
KSLC,40.78,-111.97,1288.0
KSLE,44.91,-123.0,61.0
KSLK,44.39,-74.21,507.0
KSLN,38.79,-97.65,388.0
KSMP,47.28,-121.34,1209.0
KSMQ,40.62,-74.67,32.0
KSNY,41.1,-102.98,1304.0
KSPB,45.77,-122.86,17.0
KSPI,39.84,-89.68,181.0
KSPS,33.98,-98.49,314.0
KSPW,43.17,-95.21,403.0
KSSF,29.34,-98.47,176.0
KSTC,45.54,-94.05,314.0
KSTJ,39.77,-94.91,247.0
KSTL,38.75,-90.37,171.0
KSTP,44.93,-93.06,219.0
KSUS,38.66,-90.66,141.0
KSUX,42.39,-96.38,336.0
KSWO,36.16,-97.09,300.0
KSXT,42.6,-123.36,1171.0
KSYR,43.11,-76.11,124.0
KTAD,37.26,-104.34,1756.0
KTAN,41.88,-71.02,13.0
KTCC,35.18,-103.6,1239.0
KTDZ,41.56,-83.48,189.0
KTEB,40.86,-74.06,3.0
KTHV,39.92,-76.87,148.0
KTIW,47.27,-122.58,89.0
KTKI,33.18,-96.59,179.0
KTOL,41.59,-83.8,210.0
KTOP,39.07,-95.62,270.0
KTOR,42.06,-104.15,1282.0
KTQE,41.76,-96.18,309.0
KTRI,36.48,-82.41,463.0
KTRL,32.71,-96.27,145.0
KTTD,45.55,-122.41,-0.0
KTTN,40.28,-74.82,65.0
KTUL,36.2,-95.89,206.0
KTUP,34.26,-88.77,110.0
KTVC,44.74,-85.58,190.0
KTVL,38.89,-120.0,1909.0
KTWF,42.48,-114.49,1265.0
KTXK,33.45,-93.99,119.0
KTYR,32.35,-95.4,166.0
KTYS,35.82,-83.99,299.0
KUAO,45.25,-122.77,60.0
KUGN,42.42,-87.87,222.0
KUIL,47.94,-124.56,62.0
KUIN,39.94,-91.19,234.0
KUNO,36.88,-91.9,372.0
KUTS,30.75,-95.59,112.0
KUUU,41.53,-71.28,29.0
KUZA,34.99,-81.06,202.0
KVAY,39.94,-74.85,16.0
KVCT,28.86,-96.93,36.0
KVEL,40.44,-109.51,1608.0
KVIH,38.13,-91.77,333.0
